Content,Label,Document Length
lufthansa fly profit german airline lufthansa returned profit posting huge loss preliminary airline profit euro compared loss euro operating profit euro lufthansa tough competition dip iraq war killer sars virus trouble catering lufthansa showed sign recovery airline teetering brink bankruptcy board lufthansa recommended paying dividend euro shareholder dividend detail,0,65
winndixie file bankruptcy supermarket winndixie filed bankruptcy protection succumbing stiff competition dominated walmart winndixie profitable grocer chapter protection enable successfully restructure store remain offload site jacksonville floridabased debt bankruptcy petition listed creditor food giant kraft food owes winndixie kept burdened store upgrading restructuring deemed failure largerthanexpected quarterly loss winndixies slide bankruptcy widely peter lynch winndixie chapter breathing space necessary includes achieving significant reduction improving merchandising customer location generating sense excitement store evan mann senior bond gim credit lynchs easy bankruptcy inevitably customer whats happen quarter bankruptcy customer local newspaper,0,133
growing fed saw expand federal reserve beige book region identifies study showed stronger cleveland falling mixed rating spending higher festive employment picture improved fed firmed district wage pressure generally remained modest beige book district reported higher building material manufacturing input reported steady slightly higher overall residential estate activity remained commercial estate activity strengthened district leasing especially brisk washington dc york city strongest commercial fed,0,100
saab build cadillacs sweden motor largest car maker confirmed build mediumsized cadillac bls lossmaking saab factory sweden car unveiled geneva motor intended compete mediumsized luxury car sold gm carlpeter forster marque appeal driver car cadillac diesel engine gm announcement allay fear saab factory closure factory trollhaettan rumour gm planned severe cutback troubled operation commitment swedish factory welcomed opel worker ruesselsheim germany larger proportion gm announcement unalloyed sweden reflects saabs failure significant inroad lucrative luxury car saab consistently competing headon bmw mercedes jaguar segment agree gm build marque sweden push alternative luxury brand driver established upmarket brand presidential limousine carry badge prove tough cadillac steal luxury car maker notably toyota subsidiary lexus enjoyed tremendous managing significant inroad german marque mercedes benz bmw retained stranglehold luxury bringing cadillac production sweden introduce desperatelyneeded scale saab factory produce fewer car car maker consider sufficient profitable operation saab losing fast albeit loss halved euro operation gm reducing expenditure building saabs opel badged vauxhalls cadillacs framework allowing different brand part reduce saabs loss shift production saabs driver adopted upmarket car remove exposure weak dollar saabs expensive agree dollar stronger leading car maker trend production stupid separate announcement gm unveiled scheme drive opel vauxhall model deploy fleet car inviting potential buyer vehicle hour follows similar initiative gm gm customer perception opel vauxhall car showing quality improved,0,306
voted passed ratesetting body shown monetary committee mpc paul tucker voted raise surprised unanimous worry spending freeze showed inflation released noted reason inflation fall weaker spending mpc paul tucker voted quarter argued picking equity credit housing stronger risk inflation forecast sufficiently downside noted warranted course evolved central projection ross walker economist royal scotland surprised dissenting vote soon appeared trying focus possibility pan expect probably hike happen mpc sustainable pick spending acting,0,146
industrial revival japan japanese growing faster boosting retreat recession industrial output rose adjusted retail picked faster sent tokyo eightmonth investor hoped recovery quarter contraction april nikkei index ended yen strengthening dollar yen weaker export normally engine japan weak domestic helped trigger contraction quarter shrinking gdp exceptionally kept showing decline output brought cautiously optimistic response overall risk falling recession japan toshihiko fukui warning indicator worrying overall industrial output sign pullback export slowdown bestperforming sector overseas car chemical electronic picture export sustained electronics improved domestic product flatscreen,0,143
khodorkovsky ally denies associate yukos bos mikhail khodorkovsky fraud levelled false platon lebedev trial alongside khodorkovsky june centring privatisation fertiliser pair punished authority ambition khodorkovsky lebedev absurd contradiction opening defence legal basis faced allegation evasion embarrassment understand file complaint moscow lebedev headed menatep parent yukos lebedev khodorkovsky jail sentence convicted questioned judge khodorkovsky began testimony telling objected running normal presented criminal fiction supporter politically motivated drive russian vladimir putin rein superrich socalled oligarch yukos presented russian authority yugansk division auctioned settle gain bankruptcy protection bid damage dismissed texas,0,139
china keep tight rein credit china stop overheating clamping credit medium curb introduced ward risk rapid expansion soaring fear stress placed fragile banking china remains breakneck corporate investment growing breakneck pace expansion kept rapid toolingup china manufacturing sector massive energy factor kept oil skyhigh theory target continues insist overshoot landing shape overbalancing exchange china yuan pegged dollar relentless decline chinese export cheap china resisted pressure break link shift peg extent credit effect industrial output grew october inflation slowed retail booming,0,118
verizon seal takeover mci verizon takeover battle phone mci bid worth seal morning agency higher bid qwest telecom consolidating fast longdistance giant att bought subsidiary sbc mci exited bankruptcy april gone bust worldcom bankruptcy followed admission illegally booked expense inflated profit shareholder collapsed worker worldcom bos bernie ebbers trial accused overseeing fraud qwest suspicion substandard behaviour paying exchange commission october settle manipulated wall happy mci us secondbiggest distance att consolidation telecommunication picked boost client base merger mci verizon fifth billiondollar telecom october sbc communication agreed buy parent phone trailblazer att buying mci qwest verizon access mcis network businessbased subscriber rationale similar underpinning sbcs att verizon bigger successful mobile arm factor swung board favour suitor offering mixture cash,0,164
crossrail link goahead crossrail transport backed goahead mail treasury allocated project raising rest begin shortly delayed crossrail link provide fast crosslondon rail link paper reading follow weve introduce hybrid crossrail spring remains department transport jeremy souza crossrail confirm treasury planning invest parliament impetus provided proximity maidenhead berkshire west link heathrow canary wharf city heathrow city dramatically cutting journey traveller reducing overcrowding tube mayor ken livingstone argument funded mail mail treasury earmarked spending instalment,0,124
small rising rising fuel material hitting confidence small manufacturer output lobby cbi cbi quarterly survey output risen fastest seven seeing benefit offset increasing expense cbi spending innovation training retraining forecast scale investment building machinery cbi lessen regulatory load hoping kept smaller manufacturer facing uphill struggle hugh morgan williams chair cbis sme council manufacturing sector period longterm stability cbi managed failed surveyed saw saw fall positive balance plus compared minus survey questioned output volume survey returned balance plus highest seven rose plus,0,126
deutsche boerse boost dividend deutsche boerse german stock exchange trying buy rival boost dividend payment aimed investor opposed bid stock exchange critic takeover complained returning cash shareholder deutsche boerse profit euro climbed euro lifting revenue euro frankfurtbased deutsche boerse offered euro stock exchange rival paneuropean bourse euronext bid deutsche boerse lift dividend payment euro cent euro cent whiff sweetener anais faraj nomura bbcs disgruntled shareholder deutsche boerse complaining bid placed paid dividend faraj continued deutsche boerse trying buy sense,0,114
japanese grind halt japan evaporated september sparking renewed decadelong trough output period grew annual export usual engine recovery faltered domestic stayed subdued corporate investment fell short fall short expectation sixth straight quarter expansion stagnated experiencing brief spurt expansion amid period doldrums deflation falling rising japanese shopper cautious kept spending effect leave dependent export recovery oil knocked falling dollar product shipped relatively expensive quarter sharp downturn quarter showed annual showing economist predicting export slowed capital spending weaker hiromichi shirakawa economist ubs tokyo consumption mainly temporary factor olympics amber light flashing difficult raise implement pick japan massive debt,0,137
brewer profit lose fizz heineken carlsberg largest brewer reported falling profit beer western fell flat dutch heineken saw annual profit drop earnings slide danish brewer carlsberg suffered fall profit waning increased marketing russia china provide western largely mature heinekens income fell euro euro blamed weak western currency loss september weakening dollar value knock euro operating profit dip profit heinekens improving revenue euro euro heineken invest euro aggressive highimpact marketing heineken owns amstel murphy stout brand seek involve closing brewery heineken increased dividend payment euro cent continued impact weaker dollar increased marketing spend drop profit carlsberg fifthlargest brewer saw annual pretax profit fall danish krone euro beer affected sluggish banning smoking pub increased krone thanks carlsberg lager russia poland carlsberg optimistic heineken projecting profit sweden cheap imported brand remain cautious mediumtolong outlook revenue western host social structural reason investment merrill lynch carlsberg,0,204
russia wto progress russia proposed membership organisation wto progress negotiation ambassador stefan johannesson iceland comment george w bush backed russian entry russia progress renew commitment democracy comment meet vladimir putin russia waiting decade join wto finally reached wto gather summit hong kong earliest date membership hong kong summit gave approval pinpointing difficulty bilateral multilateral russia efficient weve australia recall substance johannesson progress bilateral access accelerating sticking membership included limit ownership telecommunication insurance surrounding counterfeiting piracy data protection wto dislike russia energy subsidy competitor russian unfair advantage,0,138
india rupee fiveyear india rupee fiveyear standard poor sp raised currency rating rupee climbed dollar currency gained session sp borrower creditworthiness lifted india rating notch bb indian asset gamble cash flow buoying rupee upgrade positive basically excuse india bhanu baweja strategist ubs moved india korea thailand upgrade reversal india currency rating notch investment grade bbb romania egypt el salvador russia,0,88
dollar drop reserve dollar dropped currency central dollar reserve comment korea central sparked round dollar decline korea reserve instead boost holding currency australian canadian dollar reckon follow suit ditch dollar gmt euro euro dollar pound break dollar fallen japanese yen yen currency euro fallen staged recovery pointed dollar inability extend rally positive corporate data highlighted us disappeared focus massive budget deficit prediction dollar weakness comment korea sentiment dollar softening ian gunner trader mellon trader asia korea taiwan withdrawn bid buy dollar session mansoor mohiuddin currency strategist ubs sentiment central asia middle east buying euro showed dollar losing allure currency offered rocksteady stability compiled central banking publication sponsored royal scotland survey questioned increasing euro holding cutting dollar,0,175
india russia energy india russia energy pact india invest oil gas project agenda oil gas extraction transportation led russian energy giant gazprom india ongc indian buying stake asset owned yukos reported keen buying stake oil unit yuganskneftegas yukos subsidiary controversially sold eventually acquired stateowned energy giant rosneft russian medium reported india russia signed memorandum understanding energy cooperation oil natural gas corporation subir raha gazprom aleksey miller india petroleum mani shankar aiyar agreement develop refining facility russia india organise delivery oil gas petrochemical russia india asia ongc invest gas oil field sakhalin east russia joint tender bid project eastern siberia caspian sea india urgently searching fresh energy supply particularly liquefied natural gas domestic growing ongcs raha joint bid oil gas cash flow situation reuters gazprom huge gas investment period russian agency reported india petroleum aiyar russian energy viktor khristenko discus yugansk ongcs raha declined drawn reported stressed ongc interested loanforoil connection yugansk similar concluded rosneft china petroleum corporation china immediate needed oil coastal refinery longterm equity participation yugansk delayed decided grant yukos bankruptcy protection yukos suing host involved yugansk auctioned huge backtax threatened legal commercial dealing subsidiary,0,247
weak data buffet french batch downbeat data cast doubt french prospect showed unemployment unchanged confidence fell unexpectedly october finance nicolas sarkozy oil posed threat french oil weigh spending short potentially confidence oil risen production struggle pace soaring french keen protect profit margin rising energy reluctant extra staff unemployment french improvement employment marc touati economist natexis banques populaires politician gut solve structural unemployment thorough reform obligatory employer contribution worker welfare hire staff economist urged stimulate employment reducing nonwage payroll scrapping restriction hour french statistic agency insee expects grow buoyed spending investment projected eurozone average,0,144
fear sluggish eu gather rome sign eu constitution focusing matter closer stay lille popular tourist destination briton taste weekend tourist impressively grand victorian chambre commerce stand opera consider built town hall northern english town wealth created coal steel textile northern industrial scotland decline coal pit closed beckcrespel specialist steel armentieres mile lille laid worker specialises bolt fixing station oil built hugues charbonnier pressure factory east output cheaply china india absolutely imagine living size enlarged union isnt globalisation hurting worker paid hour hour steel coal totally vanished textile struggling attracted difference reason fan eu frederic sawicki politics lecturer university lille region unemployment kind euro scepticism especially strange lille crossroad benefiting euro euro designed eurozone rest pass largest port rotterdam holland specialist crane maker huisman itrec crane build oil rig lifted sunken russian submarine kursk sea bed huisman itrec setting factory china cheaper customer closer bos henk addink blame lack closer china estimating eu addink blame euro stifling preferred old currency moved relation germany exporting mired slow unemployment peak bad germany germany eurozones germany doesnt powerhouse bloc factory near dutch border changing siemens plant boscholt cordless phone employ staff staff started extra hour extra siemens threatened factory hungary factory herbert stueker productivity nearly germany reform compete hungary china reforming cutting generous unemployment solution wage skilled worker helmut schneider institute study bonn university costly germany especially skilled solve unemployment eu target efficient process target,0,375
m average spencer region average research city investment dresdner kleinwort wasserstein spite snow cutting spring merchandise stuart rose m bringing range compete midmarket retailer m ms competitor force lower drkw stock indicate longer step pricing certain m m margin brought clothing stuart rose strategy quality style m proving difficult retailer retail consortium reflect tough trading environment separately investment goldman sachs produced reseach showing basket m highstreet average compared higher strange m received philip green billionaire bh owner confirming rebidding followed paulsmeier african financier issuing press release paulsmeier interested m sudden spike ms followed m evidence paulsmeier lined sufficient finance bid takeover panel watchdog authority touch m beginning knew paulsmeier development,0,185
fiat take steering wheel fiat conglomerate daytoday struggling car sergio marchionne replaced herbert demel fiat auto demel leaving marchionne fourth euro loss fiat underperformed seeing flat car operating loss forced push breakeven target management wider shakeup fiat resolution dispute motor restructuring fiat integrate maserati car owned ferrari operation ferrari fiat owns majority stake separately floated stock marchionne joined fiat auto principal focus attention post auto unit speed recovery profound cultural transformation underway management reorganisation delivered agile efficient structure marchionne background car increasing activity model launched recovery boosted revenue hoped car known alfa romeo marque loss euro fall fiat exit unprofitable rental car demel car veteran helm recruited fiat giuseppe morchio morchio bid death umberto agnelli rejected founding agnelli morchio subsequently resigned fiat reached agreement gm dissolve alliance obliged gm buy italian outright gm fiat settlement,0,215
